"MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","RaceNum","Num","KettoNum","Bamei","UmaKigoCD","SexCD","TozaiCD","ChokyosiCode","ChokyosiRyakusyo","Futan","Koryu"
"20240115","2024","0120","10","01","03","10","016","2020103670","ショウナンハクウン","00","1","1","01102","大竹正博","570","0",
"20240115","2024","0120","10","01","03","10","017","2020109107","シランケド","00","2","2","01113","牧浦充徳","550","0",
"20240115","2024","0120","10","01","03","10","018","2019100907","ゼアズノープレイス","05","1","1","01063","的場均","580","0",
"20240115","2024","0120","10","01","03","10","019","2020103394","タイセイクラージュ","00","3","2","01075","矢作芳人","570","0",
"20240115","2024","0120","10","01","03","10","020","2019102384","タイラーテソーロ","00","1","1","01127","栗田徹","580","0",
"20240115","2024","0120","10","01","03","10","021","2020105550","タガノフリューゲル","00","1","2","01046","鮫島一歩","570","0",
"20240115","2024","0120","10","01","03","10","022","2020100606","タナサンブラック","00","1","1","01177","伊坂重信","570","0",
"20240115","2024","0120","10","01","03","10","023","2019100249","ツッチーフェイス","00","2","2","01128","今野貞一","560","0",
"20240115","2024","0120","10","01","03","10","024","2019100841","テラフォーミング","00","1","1","01020","相沢郁","580","0",
"20240115","2024","0120","10","01","03","10","025","2020102716","ドゥヴァンスマン","00","1","2","01181","茶木太樹","570","0",
"20240115","2024","0120","10","01","03","10","026","2018106354","バガン","00","1","2","01098","野中賢二","580","0",
"20240115","2024","0120","10","01","03","10","027","2019106716","ヒドゥンキング","00","1","1","01109","伊藤大士","580","0",
"20240115","2024","0120","10","01","03","10","028","2017102084","ヒルノアントラ","00","3","2","01044","昆貢","580","0",
"20240115","2024","0120","10","01","03","10","029","2018101924","フォレスタ","00","2","1","01195","嘉藤貴行","560","0",
"20240115","2024","0120","10","01","03","10","030","2020105796","ペリプルス","00","1","1","01035","佐藤吉勝","570","0",
"20240115","2024","0120","10","01","03","10","031","2019100913","ポリクシニーズ","05","1","1","01133","黒岩陽一","580","0",
"20240115","2024","0120","10","01","03","10","032","2019100774","マイネルシーマー","00","1","1","01156","青木孝文","580","0",
"20240115","2024","0120","10","01","03","10","033","2017101746","マイネルデステリョ","00","1","1","01048","畠山吉宏","580","0",
"20240115","2024","0120","10","01","03","10","034","2020104676","マイレーヌ","00","2","1","01086","斎藤誠","550","0",
"20240115","2024","0120","10","01","03","10","035","2019106877","ミナモトフェイス","00","2","1","00423","上原博之","560","0",
"20240115","2024","0120","10","01","03","10","036","2019104112","メイショウウネビ","00","1","2","01099","本田優","580","0",
"20240115","2024","0120","10","01","03","10","037","2019104098","メイショウホーコン","05","1","2","01042","安達昭夫","580","0",
"20240115","2024","0120","10","01","03","10","038","2019101645","ユイ","05","2","2","01135","高橋康之","560","0",
"20240115","2024","0120","10","01","03","10","039","2020100177","ロードマンハイム","00","1","2","01061","友道康夫","570","0",
"20240115","2024","0120","10","01","03","10","040","2020103329","ローレルキャニオン","00","1","2","01105","須貝尚介","570","0",
"20240115","2024","0120","10","01","03","10","041","2018104477","ヴィトーリア","00","1","2","01161","武英智","580","0",
"20240115","2024","0120","10","01","03","11","001","2020101275","アイファーテイオー","00","1","2","01046","鮫島一歩","570","0",
"20240115","2024","0120","10","01","03","11","002","2019103584","オラヴェリタス","00","1","2","01158","寺島良","580","0",
"20240115","2024","0120","10","01","03","11","003","2016100201","キョウワウォール","00","1","2","01050","飯田雄三","580","0",
"20240115","2024","0120","10","01","03","11","004","2020106063","ゴッドブルービー","00","1","2","01121","角田晃一","570","0",
"20240115","2024","0120","10","01","03","11","005","2020104198","サイレンスタイム","00","1","2","01042","安達昭夫","570","0",
"20240115","2024","0120","10","01","03","11","006","2018105996","サムハンター","00","1","2","01135","高橋康之","580","0",
"20240115","2024","0120","10","01","03","11","007","2018103473","サヴァビアン","00","1","2","01091","羽月友彦","580","0",
"20240115","2024","0120","10","01","03","11","008","2020104148","タイセイウォリアー","00","1","2","01065","大橋勇樹","570","0",
