"RecordSpec","DataKubun","MakeDate","Year","MonthDay","JyoCD","Kaiji","Nichiji","YoubiCD","Jyusyo1TokuNum","Jyusyo1Hondai","Jyusyo1Ryakusyo10","Jyusyo1Ryakusyo6","Jyusyo1Ryakusyo3","Jyusyo1Nkai","Jyusyo1GradeCD","Jyusyo1SyubetuCD","Jyusyo1KigoCD","Jyusyo1JyuryoCD","Jyusyo1Kyori","Jyusyo1TrackCD","Jyusyo2TokuNum","Jyusyo2Hondai","Jyusyo2Ryakusyo10","Jyusyo2Ryakusyo6","Jyusyo2Ryakusyo3","Jyusyo2Nkai","Jyusyo2GradeCD","Jyusyo2SyubetuCD","Jyusyo2KigoCD","Jyusyo2JyuryoCD","Jyusyo2Kyori","Jyusyo2TrackCD","Jyusyo3TokuNum","Jyusyo3Hondai","Jyusyo3Ryakusyo10","Jyusyo3Ryakusyo6","Jyusyo3Ryakusyo3","Jyusyo3Nkai","Jyusyo3GradeCD","Jyusyo3SyubetuCD","Jyusyo3KigoCD","Jyusyo3JyuryoCD","Jyusyo3Kyori","Jyusyo3TrackCD"
"YS","1","20231208","2024","0414","09","02","08","2","0141","アンタレスステークス","アンタレスステークス","アンタレスＳ","アンタ","029","C","14","N01","2","1800","24","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0420","03","01","05","1","0187","福島牝馬ステークス","福島牝馬ステークス","福島牝馬Ｓ","福島牝","021","C","14","N21","2","1800","17","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0420","05","02","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0420","08","03","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0421","03","01","06","2","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0421","05","02","02","2","0031","サンケイスポーツ賞フローラステークス","サンスポ賞フローラＳ","フローラＳ","フロラ","059","B","12","N21","3","2000","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0421","08","03","02","2","0043","読売マイラーズカップ","読売マイラーズカップ","マイラーズＣ","読売マ","055","B","14","N01","2","1600","18","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0427","04","01","01","1","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0427","05","02","03","1","0130","テレビ東京杯青葉賞","テレビ東京杯青葉賞","青葉賞","青葉賞","031","B","12","N01","3","2400","11","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
"YS","1","20231208","2024","0427","08","03","03","1","0143","ユニコーンステークス","ユニコーンステークス","ユニコーンＳ","ユニコ","029","C","12","N01","3","1900","24","0000","","","","","000","","00","000","0","0000","00","0000","","","","","000","","00","000","0","0000","00",
