"RecordSpec","DataKubun","MakeDate","KettoNum","HansyokuFNum","HansyokuMNum","BirthYear","SaleCode","SaleHostName","SaleName","FromDate","ToDate","Barei","Price"
"HS","1","20070808","1995108633","11402183","12414225","1995","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19970512","19970512","2","0053025000",
"HS","1","20070808","1995108657","11201451","12240087","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0007107000",
"HS","1","20070808","1995108701","11201262","12213569","1995","005001","ひだか東農業協同組合","ひだかトレーニングセール","19970513","19970513","2","0002625000",
"HS","1","20070808","1995108719","11201258","12233597","1995","001020","日高軽種馬農業協同組合","北海道３月３歳トレーニングセール","19970325","19970325","2","0003090000",
"HS","1","20070808","1996100062","11201542","12238214","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0008505000",
"HS","1","20070808","1996100063","11201381","12236856","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0002625000",
"HS","1","20070808","1996100067","11201449","12234533","1996","001019","日高軽種馬農業協同組合","北海道４月３歳トレーニングセール","19980421","19980421","2","0002100000",
"HS","1","20070808","1996100068","11200538","12236858","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0002257500",
"HS","1","20070808","1996100073","11201238","12225906","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0002100000",
"HS","1","20070808","1996100087","11201449","12238221","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0005355000",
"HS","1","20070808","1996100102","11201166","12228038","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0006300000",
"HS","1","20070808","1996100150","11201157","12225852","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0010500000",
"HS","1","20070808","1996100169","11201503","12217382","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005250000",
"HS","1","20070808","1996100178","11200956","12227694","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0004725000",
"HS","1","20070808","1996100181","11201050","12232039","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005355000",
"HS","1","20070808","1996100194","11201483","12232688","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0002310000",
"HS","1","20070808","1996100201","11201390","12220771","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0006405000",
"HS","1","20070808","1996100205","11201238","12234781","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0007455000",
"HS","1","20070808","1996100206","11201390","12235543","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0005250000",
"HS","1","20070808","1996100219","11201398","12238244","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005250000",
"HS","1","20070808","1996100236","11201166","12232045","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0004305000",
"HS","1","20070808","1996100241","11201449","12223151","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0002110500",
"HS","1","20070808","1996100242","11201166","12220864","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0008505000",
"HS","1","20070808","1996100255","11201120","12225473","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0008505000",
"HS","1","20070808","1996100280","11201503","12230597","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0005250000",
"HS","1","20070808","1996100292","11201465","12224166","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0010500000",
"HS","1","20070808","1996100297","11201495","12227763","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005775000",
"HS","1","20070808","1996100299","11201016","12229701","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0002205000",
"HS","1","20070808","1996100302","11201011","12232898","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0005355000",
"HS","1","20070808","1996100303","11201158","12217954","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0000735000",
"HS","1","20070808","1996100305","11200896","12222553","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0005355000",
"HS","1","20070808","1996100314","11201387","12230603","1996","001012","日高軽種馬農業協同組合","北海道６月セレクト市場","19970603","19970603","1","0005355000",
"HS","1","20070808","1996100315","11200670","12222800","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0008610000",
"HS","1","20070808","1996100316","11201339","12237685","1996","001004","日高軽種馬農業協同組合","北海道１０月市場","19971015","19971017","1","0004200000",
"HS","1","20070808","1996100355","11201382","12223014","1996","001013","日高軽種馬農業協同組合","北海道７月セレクト市場","19970701","19970701","1","0006405000",
"HS","1","20070808","1996100358","11201367","12232033","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0001575000",
"HS","1","20070808","1996100366","11200881","12230552","1996","001010","日高軽種馬農業協同組合","北海道８月市場","19970805","19970808","1","0004200000",
"HS","1","20070808","1996100370","11201166","12222094","1996","005001","ひだか東農業協同組合","ひだかトレーニングセール","19980512","19980512","2","0013125000",
"HS","1","20070808","1996100375","11201513","12234532","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0021000000",
"HS","1","20070808","1996100378","11201131","12237629","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0024150000",
"HS","1","20070808","1996100379","11401402","12238821","1996","008002","株式会社プレミアセール","プレミア３歳トレーニングセール","19980511","19980511","2","0016800000",
